id,waktu,hari,jumlah_kendaraan_asli,kendaraan_norm,waktu_tunggu,kondisi_cuaca
1,07:00,Senin,1823,36,45,Cerah
2,07:30,Senin,2104,42,52,Cerah
3,08:00,Senin,2450,49,58,Cerah
4,08:30,Senin,2301,46,55,Berawan
5,09:00,Senin,1654,33,38,Berawan
6,09:30,Senin,1230,25,30,Cerah
7,10:00,Senin,987,20,22,Cerah
8,10:30,Senin,810,16,18,Cerah
9,11:00,Senin,745,15,16,Cerah
10,11:30,Senin,892,18,20,Berawan
11,12:00,Senin,1456,29,35,Berawan
12,12:30,Senin,1678,34,40,Hujan
13,13:00,Senin,1543,31,37,Hujan
14,13:30,Senin,1123,22,25,Hujan
15,14:00,Senin,934,19,21,Cerah
16,14:30,Senin,867,17,19,Cerah
17,15:00,Senin,1234,25,28,Cerah
18,15:30,Senin,1567,31,36,Berawan
19,16:00,Senin,1989,40,48,Berawan
20,16:30,Senin,2234,45,54,Berawan
21,17:00,Senin,2478,50,60,Macet
22,17:30,Senin,2350,47,57,Macet
23,18:00,Senin,1876,38,45,Cerah
24,18:30,Senin,1432,29,34,Cerah
25,19:00,Senin,1023,20,24,Cerah
26,19:30,Senin,756,15,18,Cerah
27,20:00,Senin,534,11,13,Cerah
28,20:30,Senin,412,8,10,Cerah
29,21:00,Senin,321,6,8,Cerah
30,21:30,Senin,234,5,6,Cerah
31,07:00,Selasa,1756,35,43,Cerah
32,07:30,Selasa,2023,40,50,Berawan
33,08:00,Selasa,2389,48,57,Berawan
34,08:30,Selasa,2198,44,53,Cerah
35,09:00,Selasa,1598,32,37,Cerah
36,09:30,Selasa,1189,24,28,Cerah
37,10:00,Selasa,945,19,22,Cerah
38,10:30,Selasa,789,16,18,Cerah
39,11:00,Selasa,712,14,16,Berawan
40,11:30,Selasa,867,17,20,Berawan
41,12:00,Selasa,1389,28,33,Cerah
42,12:30,Selasa,1623,32,39,Cerah
43,13:00,Selasa,1489,30,35,Cerah
44,13:30,Selasa,1098,22,26,Berawan
45,14:00,Selasa,912,18,21,Berawan
46,14:30,Selasa,845,17,19,Cerah
47,15:00,Selasa,1198,24,27,Cerah
48,15:30,Selasa,1512,30,35,Cerah
49,16:00,Selasa,1934,39,46,Berawan
50,16:30,Selasa,2189,44,52,Berawan
51,17:00,Selasa,2412,48,59,Macet
52,17:30,Selasa,2287,46,55,Macet
53,18:00,Selasa,1823,36,44,Cerah
54,18:30,Selasa,1398,28,33,Cerah
55,19:00,Selasa,998,20,23,Cerah
56,07:00,Rabu,1698,34,42,Hujan
57,07:30,Rabu,1945,39,48,Hujan
58,08:00,Rabu,2267,45,54,Hujan
59,08:30,Rabu,2098,42,50,Berawan
60,09:00,Rabu,1512,30,36,Berawan
61,09:30,Rabu,1134,23,27,Cerah
62,10:00,Rabu,912,18,21,Cerah
63,10:30,Rabu,756,15,17,Cerah
64,11:00,Rabu,698,14,16,Cerah
65,11:30,Rabu,834,17,19,Berawan
66,12:00,Rabu,1323,26,32,Berawan
67,12:30,Rabu,1567,31,38,Hujan
68,13:00,Rabu,1434,29,34,Hujan
69,13:30,Rabu,1056,21,25,Cerah
70,14:00,Rabu,878,18,20,Cerah
71,14:30,Rabu,812,16,18,Cerah
72,15:00,Rabu,1167,23,27,Cerah
73,15:30,Rabu,1489,30,35,Berawan
74,16:00,Rabu,1867,37,45,Berawan
75,16:30,Rabu,2112,42,51,Macet
76,17:00,Rabu,2389,48,58,Macet
77,17:30,Rabu,2245,45,54,Macet
78,18:00,Rabu,1756,35,43,Cerah
79,18:30,Rabu,1345,27,32,Cerah
80,19:00,Rabu,956,19,22,Cerah
81,07:00,Kamis,1789,36,44,Cerah
82,07:30,Kamis,2056,41,51,Cerah
83,08:00,Kamis,2412,48,58,Berawan
84,08:30,Kamis,2234,45,54,Berawan
85,09:00,Kamis,1623,32,39,Cerah
86,09:30,Kamis,1212,24,29,Cerah
87,10:00,Kamis,978,20,23,Cerah
88,10:30,Kamis,812,16,18,Cerah
89,11:00,Kamis,734,15,17,Cerah
90,11:30,Kamis,878,18,20,Berawan
91,12:00,Kamis,1412,28,34,Berawan
92,12:30,Kamis,1645,33,39,Cerah
93,13:00,Kamis,1512,30,36,Cerah
94,13:30,Kamis,1112,22,26,Cerah
95,14:00,Kamis,923,18,21,Berawan
96,14:30,Kamis,856,17,19,Berawan
97,15:00,Kamis,1223,24,28,Cerah
98,15:30,Kamis,1545,31,37,Cerah
99,16:00,Kamis,1956,39,47,Berawan
100,16:30,Kamis,2201,44,53,Berawan
101,17:00,Kamis,2445,49,59,Macet
102,17:30,Kamis,2312,46,56,Macet
103,18:00,Kamis,1845,37,44,Cerah
104,18:30,Kamis,1412,28,34,Cerah
105,19:00,Kamis,1012,20,24,Cerah
106,07:00,Jumat,1923,38,47,Cerah
107,07:30,Jumat,2189,44,53,Cerah
108,08:00,Jumat,2500,50,60,Berawan
109,08:30,Jumat,2367,47,57,Berawan
110,09:00,Jumat,1712,34,41,Cerah
111,09:30,Jumat,1289,26,31,Cerah
112,10:00,Jumat,1034,21,24,Cerah
113,10:30,Jumat,856,17,19,Berawan
114,11:00,Jumat,778,16,18,Berawan
115,11:30,Jumat,923,18,21,Cerah
116,12:00,Jumat,1534,31,37,Cerah
117,12:30,Jumat,1789,36,43,Hujan
118,13:00,Jumat,1645,33,40,Hujan
119,13:30,Jumat,1234,25,29,Cerah
120,14:00,Jumat,1012,20,23,Cerah
121,14:30,Jumat,934,19,21,Cerah
122,15:00,Jumat,1289,26,30,Cerah
123,15:30,Jumat,1623,32,38,Berawan
124,16:00,Jumat,2056,41,49,Berawan
125,16:30,Jumat,2312,46,56,Macet
126,17:00,Jumat,2500,50,60,Macet
127,17:30,Jumat,2389,48,58,Macet
128,18:00,Jumat,1956,39,47,Cerah
129,18:30,Jumat,1512,30,36,Cerah
130,19:00,Jumat,1089,22,26,Cerah
131,07:00,Sabtu,1234,25,30,Cerah
132,07:30,Sabtu,1456,29,35,Cerah
133,08:00,Sabtu,1678,34,40,Berawan
134,08:30,Sabtu,1823,36,44,Berawan
135,09:00,Sabtu,1956,39,47,Cerah
136,09:30,Sabtu,2089,42,50,Cerah
137,10:00,Sabtu,2234,45,54,Cerah
138,10:30,Sabtu,2156,43,52,Berawan
139,11:00,Sabtu,2012,40,48,Berawan
140,11:30,Sabtu,1878,38,45,Cerah
141,12:00,Sabtu,1756,35,42,Cerah
142,12:30,Sabtu,1634,33,39,Hujan
143,13:00,Sabtu,1512,30,36,Hujan
144,13:30,Sabtu,1389,28,33,Cerah
145,14:00,Sabtu,1267,25,30,Cerah
146,14:30,Sabtu,1156,23,27,Cerah
147,15:00,Sabtu,1289,26,31,Berawan
148,15:30,Sabtu,1423,28,34,Berawan
149,16:00,Sabtu,1567,31,38,Cerah
150,16:30,Sabtu,1712,34,41,Cerah
